,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temperature(F),Wind Speed (mph)
375,Sainte-Claire,20,CA,1553387070,70,46.6,-70.86,34.0,17.22
376,Makokou,88,GA,1553387086,94,0.56,12.85,71.26,3.94
377,Kedrovyy,40,RU,1553383800,86,56.17,91.82,26.6,2.93
378,Taltal,0,CL,1553386980,83,-25.41,-70.49,62.26,2.37
379,Hervey Bay,75,AU,1553386509,69,-25.3,152.85,89.01,5.82
380,Perevoz,0,RU,1553387087,79,55.6,44.54,19.69,2.93
381,Rehoboth,68,NA,1553387087,40,-23.31,17.08,68.92,4.05
382,Xuddur,0,SO,1553387087,61,4.12,43.89,73.15,10.31
383,Najran,0,SA,1553382000,25,17.54,44.22,73.4,4.72
384,Puerto Leguizamo,88,CO,1553387090,92,-0.19,-74.78,75.22,1.92
385,Trairi,48,BR,1553387090,100,-3.28,-39.27,80.98,9.64
386,Nikolayevsk-na-amure,0,RU,1553387091,67,53.14,140.72,14.02,7.74
387,Bud,75,NO,1553386800,75,62.91,6.91,41.0,20.8
388,Qaqortoq,44,GL,1553385000,47,60.72,-46.03,14.0,1.12
389,La Rioja,0,AR,1553387091,75,-29.41,-66.86,69.28,5.61
390,Chiusi,0,IT,1553387058,93,43.02,11.95,53.01,9.17
391,Aanekoski,0,FI,1553386783,69,62.6,25.73,33.8,5.82
392,Smithers,40,CA,1553385600,31,54.78,-127.17,50.0,3.36
393,Luau,92,CD,1553387092,99,-10.7,22.23,65.95,2.59
394,Zhigansk,68,RU,1553387093,74,66.77,123.37,9.88,9.08
395,Leningradskiy,80,RU,1553387094,90,69.38,178.42,-3.99,20.27
396,Dunedin,68,NZ,1553386826,64,-45.87,170.5,71.01,10.0
397,Lalmohan,0,BD,1553387094,89,22.34,90.74,73.96,6.17
398,Puerto Escondido,20,MX,1553384460,74,15.86,-97.07,82.4,5.82
399,Slobodskoy,8,RU,1553387095,70,58.73,50.18,16.45,6.17
400,Klaksvik,64,FO,1553385000,86,62.23,-6.59,41.0,12.75
401,Talara,24,PE,1553387096,64,-4.58,-81.27,79.18,10.42
402,Kirakira,64,SB,1553387096,100,-10.46,161.92,83.32,10.76
403,Nhamunda,20,BR,1553387096,95,-2.19,-56.71,75.94,1.92
404,Neiafu,75,TO,1553382000,69,-18.65,-173.98,80.6,5.82
405,Agapovka,92,RU,1553383800,92,53.3,59.13,19.4,2.24
406,Naze,44,NG,1553386983,88,5.43,7.07,75.76,5.5
407,Businga,12,CD,1553387098,69,3.34,20.89,76.93,4.83
408,Sosnogorsk,80,RU,1553387098,84,63.59,53.93,30.94,9.98
409,Sondrio,0,IT,1553387094,53,46.17,9.88,57.99,5.82
410,Msanga,8,TZ,1553387099,83,-6.04,36.03,68.2,4.83
411,Santiago del Estero,0,AR,1553387099,64,-27.8,-64.26,75.94,9.31
412,Hami,0,CN,1553387100,42,42.84,93.51,31.75,8.41
413,Morondava,20,MG,1553387100,95,-20.3,44.28,78.73,6.06
414,Nabire,0,ID,1553387100,86,-3.36,135.5,76.57,1.81
415,Roald,75,NO,1553386804,75,62.58,6.12,41.0,20.8
416,Dodge City,1,US,1553386825,41,37.75,-100.02,60.8,16.11
417,Suhbaatar,44,MN,1553387101,80,50.23,106.21,22.3,2.82
418,Mayumba,88,GA,1553387101,100,-3.44,10.65,78.1,4.83
419,Tigre,0,AR,1553387100,77,-34.42,-58.58,72.0,3.36
420,Tecpan,20,GT,1553386804,52,14.76,-90.99,69.8,18.34
421,Yacuiba,90,AR,1553382000,88,-22.01,-63.68,71.6,3.6
422,Airai,24,TL,1553387041,69,-8.93,125.41,78.73,2.15
423,Sahaswan,0,IN,1553387103,48,28.07,78.75,69.28,11.65
424,Poum,0,MK,1553387103,81,41.28,20.71,31.03,1.7
425,Torbay,90,CA,1553387007,100,47.66,-52.73,37.99,5.82
426,Padang,40,ID,1553382000,100,-0.92,100.36,75.2,2.24
427,Harwich,1,US,1553387104,52,41.69,-70.08,43.0,11.41
428,Uray,0,RU,1553387105,80,60.13,64.8,16.81,2.82
429,Fagernes,0,NO,1553387105,71,60.99,9.24,24.28,9.53
430,Xapuri,64,BR,1553387106,97,-10.65,-68.5,73.78,1.81
431,Kaili,32,ID,1553387106,76,-3.46,120.21,77.56,2.48
432,Kalikino,64,RU,1553387106,96,52.95,39.83,27.79,7.63
433,Kerema,92,PG,1553387107,90,-7.96,145.78,79.36,1.92
434,Batemans Bay,92,AU,1553386709,84,-35.71,150.18,72.0,1.01
435,Kiama,40,AU,1553386939,61,-34.67,150.86,82.99,6.93
436,Karasjok,64,NO,1553385000,68,69.47,25.52,28.4,19.46
437,Hobyo,68,SO,1553387108,83,5.35,48.53,80.71,13.22
438,Tommot,80,RU,1553387109,85,58.97,126.27,18.7,3.15
439,Tobol,0,SE,1553385000,55,59.83,12.54,37.4,2.24
440,Yingcheng,92,CN,1553382000,87,30.93,113.57,48.2,2.24
441,Ixtapa,5,MX,1553386805,74,20.71,-105.21,78.8,13.87
442,Byron Bay,0,AU,1553387054,58,-28.65,153.62,91.0,3.36
443,Treinta y Tres,12,UY,1553387110,73,-33.23,-54.39,61.18,6.4
444,Tadine,80,NC,1553387111,89,-21.55,167.88,81.61,16.91
445,Bethanien,0,NA,1553387111,29,-26.5,17.16,65.32,4.16
446,Surin,80,TH,1553387003,78,14.88,103.49,82.99,3.36
447,Oktyabrskiy,40,RU,1553385468,100,55.61,37.97,32.0,2.24
448,Humboldt,0,CA,1553387112,97,52.21,-105.12,37.33,20.04
449,Novyy Urengoy,92,RU,1553387112,90,66.08,76.63,22.48,4.16
450,Lowestoft,76,GB,1553387105,86,52.48,1.75,44.01,8.41
451,Sao Miguel do Araguaia,32,BR,1553387114,92,-13.28,-50.16,77.11,4.38
452,Sarila,0,IN,1553387115,52,25.77,79.68,60.28,3.15
453,Mutis,44,CO,1553387115,90,6.23,-77.4,79.0,6.4
454,Mandalgovi,0,MN,1553387115,57,45.76,106.27,17.8,10.2
455,Aosta,0,IT,1553386827,52,45.74,7.32,52.0,1.12
456,Qasigiannguit,56,GL,1553385000,49,68.82,-51.19,1.4,17.22
457,Northam,92,GB,1553387102,70,51.04,-4.21,48.0,5.82
458,Mersing,0,MY,1553387116,95,2.43,103.84,78.19,2.71
459,Harper,90,US,1553387091,72,30.3,-99.24,70.0,8.05
460,Beyneu,0,KZ,1553387117,85,45.32,55.19,34.09,3.49
461,Hay River,75,CA,1553385600,73,60.82,-115.79,19.4,16.11
462,Svetlaya,0,RU,1553387118,100,46.54,138.33,22.75,10.76
463,Emerald,40,AU,1553387062,74,-23.53,148.16,82.99,8.05
464,Grand Gaube,75,MU,1553387040,83,-20.01,57.66,82.4,11.41
465,Sinnamary,100,GF,1553387119,96,5.38,-52.96,79.81,11.99
466,Port Lincoln,76,AU,1553387120,93,-34.72,135.86,66.49,10.09
467,Gabu,32,CN,1553387120,64,34.78,103.0,10.24,3.71
468,Juneau,75,US,1553385180,66,58.3,-134.42,50.0,19.46
469,Nokaneng,0,BW,1553387121,40,-19.66,22.19,74.95,12.44
470,Samarinda,24,ID,1553387121,89,-0.5,117.14,79.9,2.93
471,Rupert,75,US,1553385180,46,42.62,-113.68,53.6,11.41
472,Guymon,1,US,1553385360,25,36.68,-101.48,66.2,5.82
473,Banposh,0,IN,1553387122,70,22.25,84.8,58.57,0.13
474,Riyadh,0,SA,1553382000,72,24.63,46.72,66.2,4.7
475,Burnie,92,AU,1553386804,71,-41.05,145.91,68.0,5.99
476,Mecca,0,SA,1553387123,60,21.43,39.83,59.74,2.59
477,Jiwani,76,PK,1553387123,93,25.05,61.74,70.54,3.6
478,Kailua,75,US,1553387119,54,21.39,-157.74,80.6,13.87
479,Bubaque,8,GW,1553387124,100,11.28,-15.83,77.47,13.67
480,Zabaykalsk,0,CN,1553387124,50,49.64,117.33,24.28,12.77
481,Orange,8,AU,1553387121,83,-33.28,149.1,80.01,5.01
482,Chichi,92,NG,1553387125,79,7.27,8.93,79.9,12.44
483,Basco,40,US,1553387123,57,40.33,-91.2,54.0,11.41
484,Nuuk,20,GL,1553385000,55,64.17,-51.74,10.4,17.22
485,Adrar,0,DZ,1553385600,25,27.87,-0.29,62.6,12.75
486,Ankara,0,TR,1553386868,58,39.92,32.85,32.0,6.93
487,Okato,0,NZ,1553386830,59,-39.19,173.88,75.99,7.0
488,Bonavista,92,CA,1553386537,87,48.65,-53.11,36.0,1.01
489,Honiara,76,SB,1553387127,90,-9.43,159.96,80.71,2.71
490,Gedo,0,ET,1553387128,85,9.01,37.45,49.93,2.93
491,Torbat-e Jam,0,IR,1553387128,77,35.24,60.63,30.85,2.71
492,Kunigal,44,IN,1553387128,46,13.02,77.02,75.31,6.06
493,Alofi,68,NU,1553382000,65,-19.06,-169.92,82.4,11.41
494,Zhoucun,8,CN,1553387129,45,35.48,112.62,35.62,2.37
495,Omboue,88,GA,1553387130,100,-1.57,9.26,78.46,2.15
496,Pen,0,IN,1553383800,54,18.74,73.09,80.6,4.7
497,Vadso,0,NO,1553383200,82,70.07,29.75,32.0,28.86
498,Balakhta,20,RU,1553387131,83,55.38,91.62,21.4,2.59
499,Saskatoon,20,CA,1553386801,89,52.13,-106.66,43.0,24.16
500,Kruisfontein,76,ZA,1553386856,83,-34.0,24.73,65.95,3.94
501,Humberto de Campos,80,BR,1553387131,92,-2.6,-43.46,81.61,11.21
502,Sivas,90,TR,1553385000,79,39.75,37.01,21.2,11.41
503,Sao Mateus,100,BR,1553387132,100,-18.72,-39.86,78.19,11.65
504,Wattegama,56,LK,1553387132,87,7.35,80.68,66.58,2.59
505,Talmenka,0,RU,1553383800,68,53.82,83.56,30.2,6.71
506,Broken Hill,90,AU,1553382000,82,-31.97,141.45,68.0,9.17
507,Mengcheng,76,CN,1553387134,81,33.26,116.57,45.79,3.49
508,Guayaramerin,64,BO,1553387134,95,-10.82,-65.36,76.3,0.69
509,Naranjito,75,EC,1553387085,70,-2.17,-79.46,84.2,11.41
510,Port Macquarie,0,AU,1553386805,69,-31.43,152.91,87.01,1.12
511,Ardakan,20,IR,1553382000,28,32.31,54.02,55.4,2.24
512,Nadym,76,RU,1553387135,95,65.53,72.51,22.39,5.95
513,Bereda,0,ES,1553387043,81,43.27,-7.54,50.0,5.82
514,Jimma,88,ET,1553387136,79,7.67,36.84,60.28,1.25
515,Sakaiminato,75,JP,1553386693,86,35.55,133.23,41.0,6.93
516,Marathon,0,CA,1553387137,78,48.72,-86.38,29.23,11.99
517,Pozo Colorado,56,PY,1553387137,71,-23.49,-58.8,77.2,4.83
518,Mandali,92,IQ,1553387137,81,33.75,45.55,55.69,9.98
519,Ahipara,0,NZ,1553387138,74,-35.17,173.16,73.6,4.94
520,Alhama de Murcia,0,ES,1553386817,93,37.85,-1.43,55.4,5.82
521,Luderitz,48,NA,1553387138,94,-26.65,15.16,58.39,9.31
522,Ahome,5,MX,1553386697,31,25.92,-109.18,82.0,13.87
523,Fomboni,20,KM,1553387139,100,-12.28,43.74,83.77,5.17
524,Muros,0,ES,1553387089,61,42.77,-9.06,57.99,2.24
525,Mirante do Paranapanema,0,BR,1553382000,53,-22.29,-51.91,77.0,5.82
526,Bom Sucesso,80,BR,1553387140,73,-21.03,-44.76,71.62,6.85
527,Aykhal,36,RU,1553387141,65,65.95,111.51,-5.43,6.62
528,Nesbyen,0,NO,1553387101,75,60.57,9.1,26.01,25.99
